Type,,Cen Lat,Cen Lon,Point 1 Lat,Point 1 Lon,Point 2 Lat,Point 2 Lon,Point 3 Lat,Point 3 Lon,Point 4 Lat,Point 4 Lon,Point 5 Lat,Point 5 Lon,Point 6 Lat,Point 6 Lon,Point 7 Lat ,Point 7 Lon,Point 8 Lat ,Point 8 Lon,Point 9 Lat ,Point 9 Lon,Point 10 Lat ,Point 10 Lon,Point 11 Lat ,Point 11 Lon,Point 12 Lat ,Point 12 Lon,Point 13 Lat ,Point 13 Lon,Point 14 Lat ,Point 14 Lon,Point 15 Lat ,Point 15 Lon,Point 16 Lat ,Point 16 Lon,Point 17 Lat ,Point 17 Lon,Point 18 Lat ,Point 18 Lon,Point 19 Lat ,Point 19 Lon,Point 20 Lat ,Point 20 Lon,Point 21 Lat ,Point 21 Lon,Point 22 Lat ,Point 22 Lon,Point 23 Lat ,Point 23 Lon,Point 24 Lat ,Point 24 Lon,Point 25 Lat ,Point 25 Lon,Point 26 Lat ,Point 26 Lon,Point 27 Lat ,Point 27 Lon,Point 28 Lat ,Point 28 Lon,Point 29 Lat ,Point 29 Lon,Point 30 Lat ,Point 30 Lon,Point 31 Lat ,Point 31 Lon,Point 32 Lat ,Point 32 Lon,Point 33 Lat ,Point 33 Lon,Point 34 Lat ,Point 34 Lon,Point 35 Lat ,Point 35 Lon,Point 36 Lat ,Point 36 Lon
Building 1 ,,-35.238460,149.084473,-35.237766,149.084229,-35.237784,149.084582,-35.238095,149.084583,-35.238093,149.084615,-35.238229,149.084617,-35.238229,149.084798,-35.238749,149.084799,-35.238749,149.085174,-35.239023,149.085179,-35.239037,149.084856,-35.239240,149.084855,-35.239241,149.084230,-35.238841,149.084233,-35.238838,149.084258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 2,,-35.237364,149.084534,-35.237170,149.084317,-35.237173,149.084743,-35.237568,149.084744,-35.237570,149.084316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 3,,-35.236828,149.084804,-35.236769,149.084199,-35.236766,149.084680,-35.236334,149.084680,-35.236330,149.084911,-35.236914,149.084911,-35.236915,149.084201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 4,Gym,-35.238556,149.087333,-35.238412,149.087097,-35.238413,149.087587,-35.238721,149.087597,-35.238722,149.087095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 5,,-35.238983,149.083362,-35.238751,149.083076,-35.238750,149.083674,-35.239240,149.083676,-35.239240,149.083077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 6,,-35.236453,149.083979,-35.236173,149.083675,-35.236172,149.084324,-35.236724,149.084316,-35.236726,149.084178,-35.236692,149.084173,-35.236703,149.084086,-35.236740,149.084084,-35.236743,149.083840,-35.236874,149.083840,-35.236875,149.083785,-35.236672,149.083754,-35.236671,149.083634,-35.236317,149.083633,-35.236316,149.083772,-35.236284,149.083767,-35.23628,149.083654,-35.236183,149.083656,-35.23619,149.083672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 7,,-35.236541,149.083257,-35.236172,149.083172,-35.236176,149.083624,-35.236326,149.083620,-35.236328,149.083502,-35.236502,149.083140,-35.236542,149.083139,-35.236543,149.083152,-35.236552,149.083163,-35.236592,149.083163,-35.236600,149.083154,-35.236626,149.083154,-35.236634,149.083163,-35.236672,149.083164,-35.236680,149.083154,-35.236682,149.083137,-35.23673,149.083138,-35.236731,149.083723,-35.236918,149.083722,-35.236917,149.083038,-35.236730,149.08303,-35.236729,149.083083,-35.236683,149.083083,-35.236680,149.083044,-35.236614,149.083042,-35.236576,149.082966,-35.236522,149.082964,-35.236502,149.083007,-35.236463,149.083011,-35.236438,149.082963,-35.236258,149.082936,-35.236254,149.083184,,,,,,,,,,
Building 8,Library,-35.238031,149.083403,-35.237782,149.083106,-35.237787,149.083671,-35.238273,149.083672,-35.238274,149.083133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 9,,-35.239479,149.083961,-35.239302,149.083776,-35.239301,149.084146,-35.239693,149.084148,-35.239689,149.083777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 10,,-35.237373,149.085044,-35.237143,149.084898,-35.237144,149.084980,-35.237126,149.085000,-35.237072,149.085008,-35.237067,149.085086,-35.237126,149.085087,-35.237142,149.085109,-35.237143,149.085191,-35.237595,149.085191,-35.237595,149.084893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
